id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
12418,249,24,"2021-02-24 05:56:23-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
24530,362,9,"2021-03-12 09:10:56-05",-79.894668,-2.170914,2.511,2.003,1.254,0101000020E6100000C631923D42F953C0A86DC328085E01C0,O
23756,360,644,"2021-03-12 08:44:39-05",-79.894753,-2.192986,9.84,4.762,2.066,0101000020E6100000DD3F16A243F953C0D5AF743E3C8B01C0,C
23070,360,305,"2021-03-12 08:44:39-05",-79.902545,-2.217869,14.311,5.054,2.831,0101000020E6100000C68A1A4CC3F953C06F7F2E1A32BE01C0,C
28104,375,710,"2021-03-12 11:17:01-05",-79.948744,-2.121614,16.723,2.04,8.197,0101000020E6100000AE11C138B8FC53C0CEE2C5C210F900C0,V
14540,319,95,"2021-03-09 03:01:24-05",-79.837699,-2.072594,36.504,2.005,18.206,0101000020E6100000153944DC9CF553C02B16BF29AC9400C0,V
31490,384,234,"2021-03-15 03:07:32-05",-79.871572,-2.073304,32.53,2.029,16.032,0101000020E6100000FF06EDD5C7F753C0EF535568209600C0,M
16027,319,843,"2021-03-09 03:01:24-05",-79.891734,-2.163894,7.817,1.996,3.916,0101000020E6100000CDAE7B2B12F953C0C21550A8A74F01C0,V
35038,392,336,"2021-03-20 03:49:00-05",-79.921459,-2.072912,30.391,2,15.195,0101000020E6100000B6662B2FF9FA53C03BE3FBE2529500C0,V
20691,352,84,"2021-03-12 07:50:19-05",-79.922985,-2.165508,26.642,1.998,13.334,0101000020E6100000B56CAD2F12FB53C09ACFB9DBF55201C0,V
14905,318,344,"2021-03-09 03:01:24-05",-79.873932,-2.095029,27.643,1.999,13.828,0101000020E610000062BB7B80EEF753C0675F79909EC200C0,V
24181,361,799,"2021-03-12 08:44:39-05",-79.894458,-2.18642,4.014,2.012,1.995,0101000020E61000005169C4CC3EF953C00490DAC4C97D01C0,C
22017,356,100,"2021-03-12 08:22:03-05",-79.912735,-2.203405,22.5,1.937,11.616,0101000020E610000088BA0F406AFA53C038BEF6CC92A001C0,C
39310,393,1702,"2021-03-22 01:53:42-05",-79.900337,-2.136655,0.667,1.999,0.334,0101000020E61000003D98141F9FF953C0D6AD9E93DE1701C0,M
13637,262,136,"2021-02-24 06:06:59-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
14023,263,367,"2021-02-24 15:32:19-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
31544,384,261,"2021-03-15 03:07:32-05",-79.873752,-2.073262,22.277,2.001,11.133,0101000020E61000002234828DEBF753C0015130630A9600C0,M
13181,258,128,"2021-02-24 06:06:58-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
16893,328,124,"2021-03-12 02:59:25-05",-79.843742,-2.072897,32.172,2.004,16.054,0101000020E6100000BF1072DEFFF553C0E6CFB7054B9500C0,V
38026,394,987,"2021-03-22 01:53:42-05",-80.367869,-2.403135,31.776,2.048,15.515,0101000020E6100000950D6B2A8B1754C0D2FBC6D79E3903C0,M
12797,255,37,"2021-02-24 06:05:06-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
36911,394,434,"2021-03-22 01:53:42-05",-80.189869,-2.283842,46.401,0.345,134.498,0101000020E61000008D614ED0260C54C090D959F44E4502C0,M
38643,393,1364,"2021-03-22 01:53:42-05",-79.8737,-2.082152,31.884,1.985,16.062,0101000020E6100000F9A067B3EAF753C06E68CA4E3FA800C0,M
32744,384,863,"2021-03-15 03:07:32-05",-79.895115,-2.16515,18.811,2.007,9.372,0101000020E61000002ECA6C9049F953C0A779C7293A5201C0,M
14817,318,300,"2021-03-09 03:01:24-05",-79.873655,-2.083449,13.9,2.005,6.932,0101000020E6100000293FA9F6E9F753C03C122F4FE7AA00C0,V
18289,329,781,"2021-03-12 02:59:25-05",-79.89537,-2.163649,12.526,1.997,6.272,0101000020E610000073F4F8BD4DF953C0512FF834274F01C0,V
23075,361,245,"2021-03-12 08:44:39-05",-79.90227,-2.221795,13.088,2.003,6.534,0101000020E61000005D8AABCABEF953C0A054FB743CC601C0,C
24331,360,935,"2021-03-12 08:44:39-05",-79.896989,-2.185441,2.034,2.017,1.008,0101000020E6100000CBF78C4468F953C046B3B27DC87B01C0,C
37819,394,885,"2021-03-22 01:53:42-05",-80.338469,-2.377009,40.774,2.004,20.346,0101000020E61000006E6DE179A91554C09E616A4B1D0403C0,M
29340,375,1354,"2021-03-12 11:17:01-05",-79.904017,-2.174784,14.787,1.995,7.412,0101000020E6100000CB811E6ADBF953C09AE95E27F56501C0,V
20424,350,1,"2021-03-12 07:39:42-05",-79.903627,-2.132456,3.074,1.901,1.617,0101000020E610000016325706D5F953C095456117450F01C0,C
15814,318,798,"2021-03-09 03:01:24-05",-79.887279,-2.156067,24.949,1.974,12.639,0101000020E61000005EDBDB2DC9F853C0F0E0270EA03F01C0,V
