coordenadas,id_trayectoria
"(-79.873929,-2.075336)",385
"(-79.905906,-2.220237)",361
"(-79.90367,-2.170349)",375
"(-79.871572,-2.073304)",384
"(-79.9272351,-2.1228105)",281
"(-79.8984542,-2.1772747)",336
"(-79.94875,-2.8498484)",263
"(-79.8828,-2.123238)",380
"(-79.898333,-2.157781)",366
"(-79.918602,-2.17024)",386
"(-79.896619,-2.168077)",332
"(-79.890117,-2.050749)",392
"(-79.897004,-2.185412)",361
"(-79.907545,-2.219247)",361
"(-79.917838,-2.196124)",341
"(-79.874249,-2.125715)",329
"(-79.94875,-2.8498484)",254
"(-79.848172,-2.074024)",389
"(-79.8984542,-2.1824197)",338
"(-79.86790666666667,-2.1230466666666667)",267
"(-80.216017,-2.292865)",393
"(-79.900455,-2.241507)",346
"(-79.900071,-2.210137)",361
"(-79.901098,-2.213267)",360
"(-79.888474,-2.24284)",375
"(-79.947792,-2.112172)",391
"(-79.906,-2.148172)",375
"(-79.893684,-2.186662)",360
"(-79.872522,-2.064187)",390
"(-80.264487,-2.329734)",393
"(-79.94875,-2.8498484)",263
